source_id,ra,dec,parallax,phot_g_mean_mag
3586362911238437248,171.80987737943448,-12.086809574893953,7.191948381963115,13.987773
2733266472200635648,341.0584287519978,15.26656972865385,5.132968936353903,18.12401
4680472943330124544,56.37374378171506,-61.08481037630895,2.9918506273487697,18.70932
6084196726724370560,202.8906726582048,-46.281027322120366,2.821713308367873,11.581702
2499641245098603648,37.350368862994074,-1.6471661402433684,2.098505613587236,14.687146
5214925720023958912,117.43871976179976,-74.05832594078275,2.347003987153875,17.950108
6511230039178478848,335.33163809721833,-51.73123862948393,2.620485100571263,17.788868
977248962720425728,111.2606382799568,50.66496838155086,2.7224349143486357,17.078428
3182506689721794816,78.25928941519965,-9.943150541181325,4.5597283668059605,17.704222
2538816539454218112,18.466531809347487,2.87878976386266,5.08382985708441,10.119948
2932494577542985344,104.93505099895972,-20.22633441397115,2.400021779202545,18.324844
4538579494600235136,279.4975967315695,26.458736331376695,2.2832133749644776,14.362208
5871798847258673920,206.8183316767591,-57.43007106128634,2.392117649033812,17.087046
6857393266385597696,313.3457170883097,-19.934467293597834,2.226392235860971,18.394075
3322871404979144448,87.96013585081126,7.237640854516573,2.0145682869730708,18.355429
5821382042893131264,242.6826312348505,-67.24230883102545,3.668279005927082,19.407051
1308268650638218752,253.08448605625662,29.592385417922085,6.2860674704567545,17.996292
1680067962108936704,188.82477764410947,64.97200065534571,2.096925518676867,17.864588
6330337316728758912,219.3548358785783,-7.757130522060771,3.7941133589159928,19.253006
1099432432875401728,104.92701163632249,63.24594185254482,5.881378619821566,14.750455
6885384053585030400,316.10999168238817,-13.900480691769099,2.7887091285553374,13.260499
168128320166206848,56.751683305969294,30.130367266007102,3.1308058251635655,17.07654
1100007030780228864,104.24819646483398,62.10957481396692,2.1629222171250486,18.233727
5792070922609585408,224.29306834234796,-76.48572704885146,4.740622145639187,19.361313
2198940384172439808,329.22119244522736,56.63317207594698,4.8666916640832625,14.473897
2055701060198641536,302.50064978231313,34.144029783276494,2.6675835817087914,15.284464
6873519635930161024,305.42847407903963,-16.458079317841168,2.5661627277276153,17.071733
2080043526065481344,294.9353000571944,45.7541792390362,2.612050296684078,15.974063
1622538593166338432,239.47767587320212,56.96288418085623,2.3445118260495006,12.098815
703532655452238592,129.9709255450639,27.631570971904303,7.513264990316233,10.025202
4536455547367673728,278.1661050521028,24.744037283964257,2.407666777730861,18.410543
4733786170513097984,48.525969403462256,-55.18183494566648,3.2038710472207024,17.405777
6351057647714868864,346.0471782863777,-80.66577833990695,2.1628548883740994,18.983337
2649310513083146368,341.988107445413,-2.7862278888681207,2.359694448888297,11.71065
5554448141812497152,90.4768482742047,-47.947399900430796,2.6051691596625637,16.848675
4624170015185173248,73.61745240048043,-78.88503534289357,2.0479472999651764,15.839961
1929594223296326400,342.35006906124727,40.29406262635549,2.434979796438534,14.330664
6113044888182558848,203.80874776577045,-40.74597043413752,2.6546038329410484,18.587656
6630937512233309568,272.956607756348,-62.71649705591161,3.3441315031249057,13.348048
5010258399381583872,25.358164345910456,-38.45063559311889,4.0637768113486,18.609623
4338766689585921408,250.15264361303431,-8.838554015700023,2.7751061906668917,17.63716
3819698966783247616,147.56395198081566,-7.7163978960454696,2.3230503070382755,14.091331
2286461024398004736,349.28781948777777,80.98101631309181,3.502781173117523,18.809978
4509249536590264448,276.9705040280153,13.536288118868924,2.2526550399146896,17.463951
1963681484644427136,320.5471342243321,36.67684795238628,2.2067995770037148,18.795506
2202403158603348224,328.79187669818293,58.27119042900372,3.1483591144214857,15.900044
1155516936164348544,227.51369917749878,3.64531371894115,4.260856776960618,16.622017
1563237494379182720,199.5563913827644,53.73342301608104,2.280017017192389,18.900541
2835425366008816512,342.135551745009,21.039579917984135,2.4745698932226152,14.894023
2757658557843051136,352.86026912663345,7.232741925383317,2.2463232988510087,17.932245
3075955904089799552,132.10459270933268,2.271051596123523,12.599344304105063,11.123108
1973572210217352832,328.7288392343259,45.32473556998876,2.538783860415459,17.766603
4303570940129460480,297.20613657038604,10.983981574761703,3.4816965629413708,18.434845
3346749709456338560,88.83105887052048,13.548943405272674,8.529614872196044,14.496056
2275995529127437952,302.2007026956507,73.55773477791134,4.3741115350967466,18.656265
6465144486041315968,322.9488123430977,-52.713192440654545,2.1522829428594954,17.921267
5156359550270224000,46.94563830338963,-13.601363021324822,2.1308064897155248,17.539036
2453233337486703104,27.22287992259395,-14.002451461536658,2.379700133302478,13.03985
5817473553926807424,255.73690908742162,-62.77840214983321,2.25506714027432,18.159094
6857233600977033984,312.0394323483442,-20.15694326772154,2.5119843071064434,11.162662
6306778806931054464,225.44707063118972,-16.277795879477587,2.1483600356010553,16.00187
4941571152079580672,30.906806528052556,-46.776458140729794,2.563001374775318,18.651176
3125014012684556288,95.29187413215928,2.949609278620916,4.747527720322268,17.908339
4590233142120018560,274.1166694097513,30.613226842270617,4.2575670630827585,16.456984
4999810393217431552,13.224811214222148,-38.51246482588165,4.25540590316356,19.347471
2091751057152555520,280.50637070807335,34.38120408802711,3.2668856387232212,
6067612140012093056,196.54069907835955,-54.54638708808965,2.0195639603618667,18.464472
4624895933377718272,77.0356559609996,-76.38573602851461,4.032150917693865,13.268149
2817075822610862336,348.4997501433993,14.955086428976626,2.127816409526482,16.994713
5194174057253755008,98.94407145417324,-83.82455469728153,2.431435708931598,14.73855
5314942490311418112,128.82348450014626,-57.756996251704386,3.501214053460872,13.015901
3076087433168590336,126.27319603370444,-1.4864451483988401,3.3359678865938647,15.044855
1377723326991409792,237.46993573582094,40.06876204741217,3.6053020756356458,13.974468
2762575333324399104,352.72477092347356,10.682797689091863,3.686635382061127,17.994215
6801346936765589248,315.9218998299228,-27.137947991825097,3.184935382743286,16.018038
6032351214424816896,249.7386354709792,-28.51378458718352,3.9660333090284157,17.57249
839277051051013248,168.7885020146031,52.05099115786714,3.0029472269258735,18.306307
424150251234455808,15.32718327040318,57.56370213040759,2.9905175397833905,18.608501
6472918548645190528,301.81439015432767,-54.74118356528891,2.9846337857307113,18.982983
4806212268448614400,82.53869767931805,-42.11856727265097,2.475810309036082,18.262789
6150719963347971456,187.35881810559133,-37.62999876822206,3.2452490667305707,18.640146
2574228059478051328,27.456721440696906,11.339492787232661,2.1120539675413457,17.907095
3546323611200338688,170.83117911177203,-18.5401545734642,2.533919363615551,14.865946
6179304791764942464,195.95295199134415,-34.18706258671192,2.384100935870783,18.303385
1957080261644890240,335.32933075307284,40.5576862705911,2.2981737970631424,16.685785
4625817324121258624,63.35546176007208,-79.05998608665335,9.5541850805203,10.736481
1107738521669905664,90.66946380614955,71.42604377888144,3.3575037868224165,15.467089
2978371738865384192,67.85811755890916,-19.469461227516888,2.5055765607669804,17.190659
6540708736197046912,342.5308838842383,-45.12222906674039,3.84039591946586,10.274281
4495630057859252608,271.9539689970701,12.767190125391867,2.3582128903662047,18.64765
233587126455796096,61.45959117384045,46.01341775549871,3.294995380428284,17.53836
4696251420520838272,36.79390471714849,-66.67775926925012,3.4210227169882654,15.629678
5781364359420371840,247.6714554759945,-75.1217477656388,4.01411509662801,17.087671
4855992970930277760,57.560053698783456,-37.4851113236017,2.943139158712197,13.304453
5185013196951388544,41.1458798654444,-4.609937251870831,3.6431834865794643,13.78319
2037704803617185152,286.1963097486625,28.772790832094735,4.228196250160114,17.794212
1061475298619352064,174.96331148817399,69.2748588926928,2.581901345598793,11.687877
6457252986147076480,313.2610313063878,-57.58572552990905,3.2825227618140964,19.146265
5322711227155204864,127.96080909090844,-50.912657067413306,3.900737648289172,16.013027
2930546277298588288,110.26971277535797,-19.35854173246696,2.2491413018773696,17.874311
6401767746757153536,320.62007589383666,-64.33547855488125,5.608731408959734,18.385674
1268128990096214528,224.07617894120722,25.940884095818586,2.180150263665865,14.638758
2163455707980134272,315.47778926134083,45.59833506205839,6.009190624501581,15.8804245
2189890368378714368,313.15527306426424,56.29863107178061,4.15812803247404,19.213017
16727763746927872,51.3810097272901,12.37115422808496,2.3485114672327487,12.788804
3213232061122601216,76.11931761243419,-3.0462870497886123,2.2503504045914156,10.386857
4515949861688234112,291.10264183900074,20.17436500960023,2.171331316323626,17.709568
4246703133589677440,305.4249840567156,5.913773361843624,3.667945564138682,15.898103
6224151332742512128,226.1319736679016,-28.887951746179716,2.93763224642166,17.808208
4340590053529109632,252.10017463732893,-6.921712655381502,2.4893952205057817,19.007265
1795437754411600768,331.5954500567211,24.612644550878944,3.83250462160703,18.072119
1568380322578559232,189.89007347221954,49.82956147107759,6.804811579843103,19.511404
2579321620108213504,20.861549218359112,9.982162001180424,4.862772318277855,18.758158
5850233885138776960,206.7236356069139,-68.66652415095174,5.559944167150815,16.4871
482091425938463232,73.87366611459781,65.1724110931526,2.1953846200939244,17.340515
5927744094804268288,251.09760693925082,-56.960100359866715,11.304311485078195,12.686421
1862115785966000640,306.3726259700204,31.626148909590416,2.9327202781808595,16.781462
2992957619603661824,92.07426860378128,-15.800044782587094,2.9174445579366624,11.399201
5915713857030872704,259.491411358678,-58.84527725444102,4.358498689321255,10.321192
4637212559552086144,34.149886144819426,-75.4854819897902,4.988493798998535,14.81533
1813653333487356032,312.8027273406529,19.58858325382046,2.807902551197993,14.1963215
6792282116231384960,310.29721679683985,-33.24586930920033,3.6637210002647116,17.147911
1071531049714493440,149.29410513644967,71.04932794510358,3.923741563056248,19.706507
5772726664789481984,219.19032905125755,-81.17100862466349,3.6567761572852135,18.341131
2254305639344183552,289.5433806613512,65.20439286643487,2.14736679263207,11.403586
1735893324252255232,311.82887840750544,5.786502298170194,4.848669235796357,18.816736
1896408827768402688,328.251225526801,28.845130811438356,2.8698253131898994,18.527906
5501695983389662720,99.86162232440454,-51.639628389262654,2.1255352947332335,17.737453
2257348434692705408,277.4892222777331,67.26117784140419,2.0234999493170154,15.855366
5965198473041004416,258.0963112696008,-43.632029827209344,2.7194060006394025,18.98341
826770278083625472,147.0251892543068,49.60590420839206,3.125036671367516,16.303726
143199844646866688,44.650650909519534,38.98363253256431,2.8575795624025577,17.914059
3821882730019305728,150.64887569655014,-5.650083776828966,2.427667683545872,12.367027
5466429285367722624,151.6963702196769,-27.371123917842567,4.719396198388615,12.689889
5966505590513461760,253.68474330996878,-41.89649633310346,3.2251627089602244,19.152376
3477892855048766592,175.4924516762388,-31.74540126557034,2.317752775898761,18.864605
