tracer_type,x_kpc,y_kpc,z_kpc,distance_basis,source_record
hii_region,0.14490,7.02823,0.00223,photometric_or_trigonometric,tablea1.dat:170
hii_region,0.14599,7.02835,-0.00214,photometric_or_trigonometric,tablea1.dat:172
hii_region,0.14634,7.02841,-0.00664,photometric_or_trigonometric,tablea1.dat:178
hii_region,0.14860,7.02867,-0.00552,photometric_or_trigonometric,tablea1.dat:181
hii_region,0.11454,7.35759,-0.03531,photometric_or_trigonometric,tablea1.dat:186
hii_region,0.32806,5.62003,-0.01178,photometric_or_trigonometric,tablea1.dat:189
hii_region,0.11914,7.35819,-0.03614,photometric_or_trigonometric,tablea1.dat:198
hii_region,2.20194,-8.97010,0.05561,kinematic,tablea1.dat:203
hii_region,0.12047,7.35827,-0.03365,photometric_or_trigonometric,tablea1.dat:204
hii_region,0.34303,5.62188,-0.00547,photometric_or_trigonometric,tablea1.dat:206
hii_region,1.64005,-4.34321,0.14820,kinematic,tablea1.dat:207
hii_region,2.74162,-12.75179,0.13561,kinematic,tablea1.dat:209
hii_region,0.65151,3.33254,0.00525,kinematic,tablea1.dat:211
hii_region,2.21211,-8.06112,-0.02276,kinematic,tablea1.dat:221
hii_region,2.28830,-8.47464,0.00414,kinematic,tablea1.dat:223
hii_region,0.68385,3.43787,-0.01337,kinematic,tablea1.dat:225
hii_region,1.83435,-4.52942,0.05157,kinematic,tablea1.dat:229
hii_region,0.72842,3.31292,-0.00792,kinematic,tablea1.dat:239
hii_region,0.65587,3.83801,-0.02385,kinematic,tablea1.dat:242
hii_region,0.67205,3.76965,-0.02646,kinematic,tablea1.dat:248
hii_region,0.65879,3.90920,-0.02232,kinematic,tablea1.dat:249
hii_region,0.69912,3.71306,-0.02842,kinematic,tablea1.dat:252
hii_region,0.25772,6.61972,-0.01513,photometric_or_trigonometric,tablea1.dat:258
hii_region,0.67035,4.00203,-0.02452,kinematic,tablea1.dat:260
hii_region,0.86853,3.17308,0.01797,photometric_or_trigonometric,tablea1.dat:265
hii_region,0.61531,4.67209,-0.04554,kinematic,tablea1.dat:272
hii_region,0.87757,3.17514,-0.07551,photometric_or_trigonometric,tablea1.dat:274
