name,x_kpc,y_kpc,z_kpc,parallax_mas,parallax_error_mas,arm,source_record
G017.63+00.15,0.45292,6.87551,0.00408,0.669,0.019,SgN,table1.dat:43
G018.34+01.76,0.62906,6.40251,0.06171,0.500,0.019,SgN,table1.dat:44
G018.87+00.05,1.08917,5.11403,0.00313,0.297,0.049,ScN,table1.dat:45
G019.00-00.02,1.31867,4.47219,-0.00207,0.247,0.063,Nor,table1.dat:46
G019.36-00.03,0.94199,5.61981,-0.00150,0.352,0.069,ScN,table1.dat:47
G019.49+00.11,1.02374,5.40839,0.00618,0.326,0.100,???,table1.dat:48
G022.35+00.06,1.64662,4.29639,0.00501,0.231,0.108,Nor,table1.dat:49
G023.00-00.41,1.90672,3.81017,-0.03496,0.205,0.015,Nor,table1.dat:50
G023.20-00.37,1.64869,4.45451,-0.02758,0.239,0.034,Nor,table1.dat:51
G023.25-00.24,2.33637,2.86369,-0.02484,0.169,0.051,ScN,table1.dat:52
G023.38+00.18,1.90851,3.88738,0.01556,0.208,0.025,Nor,table1.dat:53
G023.43-00.18,2.33991,2.90310,-0.01872,0.170,0.032,Nor,table1.dat:54
G023.65-00.12,1.28196,5.37360,-0.00710,0.313,0.039,ScN,table1.dat:55
G023.70-00.19,2.49720,2.61297,-0.02147,0.161,0.024,Nor,table1.dat:56
G024.63-00.32,1.72237,4.54391,-0.02334,0.242,0.045,ScN,table1.dat:57
G024.78+00.08,2.79527,2.24766,0.00969,0.150,0.016,Nor,table1.dat:58
G024.85+00.08,2.38777,3.14427,0.00867,0.176,0.016,Nor,table1.dat:59
G025.70+00.04,4.42661,-0.89393,0.00780,0.098,0.029,ScF,table1.dat:60
G027.36-00.16,3.67725,1.19526,-0.02316,0.125,0.042,ScF,table1.dat:61
G028.14-00.00,2.98564,2.71935,-0.00049,0.158,0.023,ScF,table1.dat:62
G028.30-00.38,2.14547,4.31620,-0.03061,0.221,0.022,ScN,table1.dat:63
G028.39+00.08,2.05878,4.49189,0.00607,0.231,0.015,ScN,table1.dat:64
G028.83-00.25,2.41121,3.91987,-0.02205,0.200,0.040,ScN,table1.dat:65
G028.86+00.06,2.40149,3.94286,0.00570,0.201,0.019,ScF,table1.dat:66
G029.86-00.04,2.25302,4.37591,-0.00350,0.221,0.030,ScF,table1.dat:67
G029.95-00.01,2.41220,4.11442,-0.00136,0.207,0.019,ScF,table1.dat:68
G029.98+00.10,3.20336,2.74755,0.01216,0.156,0.010,ScF,table1.dat:69
G030.19-00.16,2.37259,4.22317,-0.01393,0.212,0.010,ScN,table1.dat:70
G030.22-00.18,1.77249,5.25755,-0.01106,0.284,0.032,ScN,table1.dat:71
